TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,COLUMN_DEFAULT,IS_IDENTITY
dbo,games,genre,3,YES,nvarchar,50,NULL,NULL,NULL,0
dbo,games,created_at,4,YES,datetime2,NULL,NULL,NULL,(getdate()),0
dbo,games,name_zh,5,YES,nvarchar,100,NULL,NULL,NULL,0
dbo,Group_Block,block_id,1,NO,int,NULL,10,0,NULL,1
dbo,Group_Block,group_id,2,NO,int,NULL,10,0,NULL,0
dbo,Group_Block,user_id,3,NO,int,NULL,10,0,NULL,0
dbo,Group_Block,blocked_by_user_id,4,YES,int,NULL,10,0,NULL,0
dbo,Group_Block,reason,5,YES,nvarchar,200,NULL,NULL,NULL,0
dbo,Group_Block,blocked_at,6,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Group_Block,unblocked_at,7,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,Group_Chat,message_id,1,NO,int,NULL,10,0,NULL,1
dbo,Group_Chat,group_id,2,NO,int,NULL,10,0,NULL,0
dbo,Group_Chat,sender_user_id,3,NO,int,NULL,10,0,NULL,0
dbo,Group_Chat,message_text,4,NO,nvarchar,-1,NULL,NULL,NULL,0
dbo,Group_Chat,sent_at,5,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Group_Member,group_member_id,1,NO,int,NULL,10,0,NULL,1
dbo,Group_Member,group_id,2,NO,int,NULL,10,0,NULL,0
dbo,Group_Member,user_id,3,NO,int,NULL,10,0,NULL,0
dbo,Group_Member,role_name,4,NO,nvarchar,20,NULL,NULL,(N'member'),0
dbo,Group_Member,joined_at,5,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Group_Member,left_at,6,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,Group_Read_States,state_id,1,NO,int,NULL,10,0,NULL,1
dbo,Group_Read_States,group_id,2,NO,int,NULL,10,0,NULL,0
dbo,Group_Read_States,user_id,3,NO,int,NULL,10,0,NULL,0
dbo,Group_Read_States,last_read_at,4,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,Groups,group_id,1,NO,int,NULL,10,0,NULL,1
dbo,Groups,owner_user_id,2,NO,int,NULL,10,0,NULL,0
dbo,Groups,group_name,3,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,Groups,description,4,YES,nvarchar,200,NULL,NULL,NULL,0
dbo,Groups,is_private,5,NO,bit,NULL,NULL,NULL,((0)),0
dbo,Groups,created_at,6,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Groups,updated_at,7,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,leaderboard_snapshots,snapshot_id,1,NO,int,NULL,10,0,NULL,1
dbo,leaderboard_snapshots,period,2,YES,varchar,20,NULL,NULL,NULL,0
dbo,leaderboard_snapshots,ts,3,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,leaderboard_snapshots,rank,4,YES,int,NULL,10,0,NULL,0
dbo,leaderboard_snapshots,game_id,5,YES,int,NULL,10,0,NULL,0
dbo,leaderboard_snapshots,index_value,6,YES,decimal,NULL,18,4,NULL,0
dbo,leaderboard_snapshots,created_at,7,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,ManagerData,Manager_Id,1,NO,int,NULL,10,0,NULL,0
dbo,ManagerData,Manager_Name,2,YES,nvarchar,30,NULL,NULL,NULL,0
dbo,ManagerData,Manager_Account,3,YES,varchar,30,NULL,NULL,NULL,0
dbo,ManagerData,Manager_Password,4,YES,nvarchar,200,NULL,NULL,NULL,0
dbo,ManagerData,Administrator_registration_date,5,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,ManagerData,Manager_Email,6,NO,nvarchar,255,NULL,NULL,NULL,0
dbo,ManagerData,Manager_EmailConfirmed,7,NO,bit,NULL,NULL,NULL,((0)),0
dbo,ManagerData,Manager_AccessFailedCount,8,NO,int,NULL,10,0,((0)),0
dbo,ManagerData,Manager_LockoutEnabled,9,NO,bit,NULL,NULL,NULL,((1)),0
dbo,ManagerData,Manager_LockoutEnd,10,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,ManagerRole,Manager_Id,1,NO,int,NULL,10,0,NULL,0
dbo,ManagerRole,ManagerRole_Id,2,NO,int,NULL,10,0,NULL,0
dbo,ManagerRolePermission,ManagerRole_Id,1,NO,int,NULL,10,0,NULL,0
dbo,ManagerRolePermission,role_name,2,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,ManagerRolePermission,AdministratorPrivilegesManagement,3,YES,bit,NULL,NULL,NULL,NULL,0
dbo,ManagerRolePermission,UserStatusManagement,4,YES,bit,NULL,NULL,NULL,NULL,0
dbo,ManagerRolePermission,ShoppingPermissionManagement,5,YES,bit,NULL,NULL,NULL,NULL,0
dbo,ManagerRolePermission,MessagePermissionManagement,6,YES,bit,NULL,NULL,NULL,NULL,0
